a 工
bct 聚
bctb 鄹
bcv 娶
bd 承
bda 隋
bdan 隳
bde 随
bdef 堕
bdj 陌
bdx 陇
be 阴
begg 阻
bf 际
bfd 孺
bfh 陡
bfj 阱
bfm 陆
bfq 阮
bfw 陵
bg 卫
bgh 耳
bgk 隔
bgm 陋
bgq 阢
bgu 陕
bh 耻
bhc 陂
bhgj 蚩
bhi 陟
bhic 骘
bhk 屮
bhkg 阽
bi 孙
bib 函
big 丞
bigb 卺
bij 隙
bip 逊
bj 阳
bjf 陧
bjm 隅
bjx 隰
bk 职
bkc 亟
bkh 聩
bkm 陨
bl 阵
blf 孟
blge 隈
bll 勐
bm 出
bmf 祟
bmfg 聃
bmg 聘
bmo 粜
bn 也
bnh 卩
bnh 阝
bnh 凵
bnhg 孑
bnn 孔
bo 耿
bp 辽
bpf 院
bpq 耽
bps 聍
bpx 陀
bq 隐
bqn 孢
bqr 陶
bqt 聊
bqv 陷
br 孤
brcy 阪
brg 隍
brq 隗
brt 陴
bs 阿
bsh 耵
bt 降
btd 聒
btf 阡
btg 隆
btgf 陲
bth 阼
bty 孜
bu 联
bue 隧
buj 障
buk 陪
bukn 聪
buw 隘
bv 限
bw 队
bwf 附
bwff 坠
bwg 险
bwj 阶
bwt 除
bwyc 聆
bx 陛
by 防
byi 孓
bynw 孩
bynw 陔
c 以
ca 戏
cad 颈
cadw 骐
caj 弁
cajh 刭
cal 劲
cap 迳
caq 驱
catq 骁
cay 巯
cb 邓
cbc 骤
cbd 预
cbj 予
cbn 驰
cbq 豫
cbt 矛
cbtc 骛
cbtg 鹬
cbtg 鹜
cbth 瞀
cbtj 蝥
cbtj 蟊
cbtn 矜
cbtq 鍪
cbts 柔
cbtv 婺
cc 双
ccc 又
cccf 垒
cccg 叠
cccm 颡
cccs 桑
ccd 骖
ccf 驿
cck 骀
ccw 骏
ccy 驭
ccyj 骚
cd 参
cdd 叁
cden 毵
cdl 畚
cds 骑
cdy 驮
ce 能
ceg 驵
cej 甬
cel 勇
cen 恿
cep 通
cexo 熊
cf 对
cff 圣
cfn 怼
cg 骊
cj 骒
ck 台
ckb 邰
ckh 驯
ckn 怠
cko 炱
ckp 迨
ckq 驶
cl 劝
clg 驷
clx 骡
cm 观
cmg 骋
cn 马
cnb 骣
cnh 巴
cny 厶
cp 驼
cq 允
cqk 驹
cqq 驳
cqv 驺
cqw 欢
cqy 鸡
cqyl 骝
cr 牟
cs 骠
ct 矣
ctdj 骄
ctk 骆
ctl 骢
cua 骈
cux 骥
cv 艰
cw 难
cwf 驸
cwg 验
cwt 逡
cwtc 皴
cwx 骅
cwyg 骓
cy 驻
cyi 叉
cyj 蚤
cyk 骧
cyn 驴
cyna 骗
cynn 骟
cynw 骇
d 在
da 左
dadr 厮
dah 砑
dai 礴
daj 厝
dam 磺
damh 砸
dan 碟
dap 礞
daq 奁
daqy 砹
dat 硗
dav 砌
daw 礤
day 硭
db 顾
dbf 耷
dbm 础
dbv 厄
dc 友
dcc 磉
dcd 碜
dcg 码
dcw 雄
dd 大
ddd 磊
dddl 靥
dddn 砺
dddq 飙
ddg 碱
ddh 厦
ddi 厌
ddl 厣
ddm 硕
ddn 厉
ddnl 励
ddr 魇
ddu 套
ddw 餍
de 胡
deb 郁
dee 硼
defk 髻
degq 髡
deh 髭
del 鬟
dem 髯
dep 鬃
depw 鬓
deq 鹕
det 髟
detn 髦
deto 鬏
deu 鬈
devk 髫
devn 鬣
dew 髹
df 夺
dfa 奔
dfc 磕
dfcy 砝
dfe 辰
dfef 辱
dfej 蜃
dfek 唇
dff 硅
dfff 奎
dfh 矸
dfi 奈
dfn 夸
dfnj 刳
dfnn 匏
dfny 砖
dfny 瓠
dft 奢
dfy 压
dg 三
dga 研
dgaj 硎
dgb 砘
dgh 古
dgj 硬
dgk 咸
dgkf 厨
dgkn 感
dgl 礓
dgm 碛
dgn 戌
dgt 厂
dgtg 石
dgty 犬
dgu 砰
dguw 硖
dgv 威
dgx 碡
dh 丰
dha 戛
dhb 存
dhc 破
dhd 慧
dhdb 酆
dhdf 砉
dhdv 彗
dhi 戚
dhih 蹙
dhkg 砧
dhq 艳
dht 夏
dhv 契
dhvn 恝
dhvr 挈
di 砂
dial 耢
dias 磲
dib 耔
dic 耙
did 耨
die 硝
dif 耕
difc 耘
diff 耩
dii 耒
diik 耥
diit 耖
dij 耦
din 耜
dio 耧
ditn 耗
diu 泵
diuy 耪
diw 耠
diy 耱
dj 百
djb 厚
djd 非
djde 裴
djdg 韭
djdj 蜚
djdl 辈
djdn 悲
djdn 翡
djdy 斐
djfd 厘
djg 碍
djh 砷
djn 奄
djng 鹌
djq 碣
dk 右
dkj 夼
dl 历
dlb 夯
dlf 奋
dlh 砗
dlk 厍
dm 面
dma 碘
dmd 碳
dmf 碉
dmg 硐
dmh 布
dmj 而
dmjf 耐
dmjg 鸸
dmjk 厕
dmjn 恧
dmjv 耍
dmn 矶
dmq 砚
dmqy 砜
